DevEUI,Status,Atividade,Porta
0080e115002162d1,Na NLT,Não ativo, desconhecida
0080e115002162d2,Na NLT,Não ativo, desconhecida
0080e115002162d3,Fora da NLT,Não ativo, desconhecida
0080e115002162d4,Na NLT,Não ativo, desconhecida
0080e115002162d5,Na NLT,Não ativo, desconhecida
0080e115002162d6,Na NLT,Não ativo, desconhecida
0080e115002162d7,Na NLT,Não ativo, desconhecida
0080e115002162d8,Na NLT,Não ativo, desconhecida
0080e115002162d9,Na NLT,Não ativo, desconhecida
0080e115002162da,Na NLT,Não ativo, desconhecida
0080e115002162db,Na NLT,Não ativo, desconhecida
0080e115002162df,Na NLT,Não ativo, desconhecida
0080e115002162e0,Na NLT,Não ativo, desconhecida
0080e115002162e1,Na NLT,Não ativo, desconhecida
0080e115002162e2,Na NLT,Não ativo, desconhecida
0080e115002162e7,Na NLT,Não ativo, desconhecida
0080e115002162e8,Na NLT,Não ativo, desconhecida
0080e115002162e9,Na NLT,Não ativo, desconhecida
0080e115002162ea,Na NLT,Não ativo, desconhecida
0080e115002162eb,Na NLT,Não ativo, desconhecida
0080e115002162ec,Na NLT,Não ativo, desconhecida
0080e115002162ed,Na NLT,Não ativo, desconhecida
0080e115002162ee,Na NLT,Não ativo, desconhecida
0080e115002162ef,Na NLT,Não ativo, desconhecida
0080e115002162f0,Na NLT,Não ativo, desconhecida
0080e115002162f9,Na NLT,Não ativo, desconhecida
0080e115002162fe,Fora da NLT,Não ativo, desconhecida
0080e11500216304,Na NLT,Ativo,8
0080e11500216309,Na NLT,Não ativo, desconhecida
0080e1150021630b,Na NLT,Ativo,8
0080e11500216317,Na NLT,Não ativo, desconhecida
0080e11500216318,Na NLT,Não ativo, desconhecida
0080e11500216319,Na NLT,Não ativo,8
0080e1150021631e,Na NLT,Não ativo, desconhecida
0080e1150021631f,Na NLT,Não ativo, desconhecida
0080e11500216320,Na NLT,Não ativo, desconhecida
0080e11500216321,Na NLT,Não ativo, desconhecida
0080e11500216322,Na NLT,Não ativo, desconhecida
0080e1150021632b,Na NLT,Não ativo, desconhecida
0080e1150021632c,Na NLT,Não ativo, desconhecida
0080e1150021632d,Na NLT,Não ativo, desconhecida
0080e11500216335,Na NLT,Não ativo, desconhecida
0080e11500216336,Na NLT,Não ativo, desconhecida
0080e11500216337,Na NLT,Não ativo, desconhecida
0080e11500216338,Na NLT,Não ativo, desconhecida
0080e1150021633d,Na NLT,Não ativo, desconhecida
0080e11500216341,Na NLT,Não ativo, desconhecida
0080e11500216342,Na NLT,Não ativo, desconhecida
0080e11500216343,Na NLT,Não ativo, desconhecida
0080e11500216346,Na NLT,Não ativo, desconhecida
0080e11500216347,Na NLT,Não ativo, desconhecida
0080e1150021634e,Na NLT,Não ativo, desconhecida
0080e1150021634f,Na NLT,Não ativo, desconhecida
0080e11500216355,Na NLT,Não ativo, desconhecida
0080e11500216356,Na NLT,Não ativo, desconhecida
0080e11500216358,Na NLT,Não ativo, desconhecida
0080e11500216359,Na NLT,Não ativo, desconhecida
0080e1150021635a,Na NLT,Não ativo, desconhecida
0080e1150021635b,Na NLT,Não ativo, desconhecida
0080e1150021635c,Na NLT,Não ativo, desconhecida
0080e1150021635e,Na NLT,Não ativo, desconhecida
0080e1150021635f,Na NLT,Ativo,8
0080e11500216360,Na NLT,Ativo,8
0080e11500216363,Na NLT,Não ativo, desconhecida
0080e11500216364,Na NLT,Não ativo, desconhecida
0080e11500216365,Na NLT,Não ativo, desconhecida
0080e11500216366,Na NLT,Não ativo, desconhecida
0080e11500216367,Na NLT,Não ativo, desconhecida
0080e11500216369,Na NLT,Não ativo, desconhecida
0080e1150021636b,Na NLT,Ativo,8
0080e1150021636c,Na NLT,Não ativo, desconhecida
0080e1150021636d,Na NLT,Não ativo, desconhecida
0080e11500216370,Na NLT,Não ativo, desconhecida
0080e11500216373,Na NLT,Não ativo, desconhecida
0080e11500216374,Na NLT,Não ativo, desconhecida
0080e11500216375,Na NLT,Não ativo, desconhecida
0080e11500216376,Na NLT,Ativo,8
0080e11500216378,Na NLT,Não ativo, desconhecida
0080e11500216379,Na NLT,Não ativo, desconhecida
0080e1150021637a,Na NLT,Não ativo, desconhecida
0080e1150021637b,Na NLT,Não ativo, desconhecida
0080e1150021637e,Na NLT,Não ativo, desconhecida
0080e11500216382,Na NLT,Não ativo, desconhecida
0080e11500216383,Na NLT,Não ativo, desconhecida
0080e11500216386,Na NLT,Não ativo, desconhecida
0080e11500216387,Na NLT,Não ativo, desconhecida
0080e11500216388,Na NLT,Não ativo, desconhecida
0080e1150021638b,Na NLT,Não ativo, desconhecida
0080e1150021638c,Na NLT,Não ativo, desconhecida
0080e1150021638d,Na NLT,Não ativo, desconhecida
0080e11500216390,Na NLT,Não ativo, desconhecida
0080e11500216392,Na NLT,Não ativo, desconhecida
0080e11500216397,Na NLT,Não ativo, desconhecida
0080e1150021639c,Na NLT,Não ativo, desconhecida
0080e115002163a0,Na NLT,Não ativo, desconhecida
0080e115002163a1,Na NLT,Não ativo, desconhecida
0080e115002163a2,Na NLT,Não ativo, desconhecida
0080e115002163a7,Na NLT,Não ativo, desconhecida
0080e115002163a8,Na NLT,Não ativo,8
0080e115002163a9,Na NLT,Não ativo, desconhecida
0080e115002163ae,Na NLT,Não ativo, desconhecida
0080e115002163af,Na NLT,Não ativo, desconhecida
0080e115002163b0,Na NLT,Não ativo, desconhecida
0080e115002163b7,Na NLT,Não ativo, desconhecida
0080e115002163b9,Na NLT,Não ativo, desconhecida
0080e115002163bc,Na NLT,Não ativo, desconhecida
0080e115002163c9,Na NLT,Ativo,8
0080e115002163ca,Na NLT,Ativo,8
0080e115002163cd,Na NLT,Ativo, desconhecida
0080e115002163ce,Na NLT,Não ativo, desconhecida
0080e115002163d2,Na NLT,Não ativo, desconhecida
0080e115002163d4,Na NLT,Ativo, desconhecida
0080e115002163ec,Na NLT,Não ativo, desconhecida
0080e115002163ed,Na NLT,Ativo,8
0080e115002163ee,Na NLT,Não ativo, desconhecida
0080e115002163ef,Na NLT,Não ativo, desconhecida
0080e115002163f0,Na NLT,Não ativo, desconhecida
0080e115002163f1,Na NLT,Não ativo, desconhecida
0080e115002163f2,Na NLT,Ativo,8
0080e115002163f3,Na NLT,Não ativo, desconhecida
0080e115002163f4,Na NLT,Ativo,0
0080e115002163f5,Na NLT,Não ativo, desconhecida
0080e115002163f6,Na NLT,Ativo,8
0080e115002163f7,Na NLT,Não ativo, desconhecida
0080e115002163fc,Na NLT,Não ativo, desconhecida
0080e115002163fd,Na NLT,Não ativo, desconhecida
